ssp,time,tas,ensemble,model
ssp126,2047,13.84027,NEX,BCC-CSM2-MR
ssp126,2048,13.252694,NEX,BCC-CSM2-MR
ssp126,2049,12.46423,NEX,BCC-CSM2-MR
ssp126,2050,13.601595,NEX,BCC-CSM2-MR
ssp126,2051,12.855911,NEX,BCC-CSM2-MR
ssp126,2052,14.645511,NEX,BCC-CSM2-MR
ssp126,2053,13.978037,NEX,BCC-CSM2-MR
ssp126,2054,14.489919,NEX,BCC-CSM2-MR
ssp126,2055,13.528892,NEX,BCC-CSM2-MR
ssp126,2056,14.088194,NEX,BCC-CSM2-MR
ssp126,2057,13.3582,NEX,BCC-CSM2-MR
ssp126,2058,14.173903,NEX,BCC-CSM2-MR
ssp126,2059,14.225198,NEX,BCC-CSM2-MR
ssp126,2060,13.37202,NEX,BCC-CSM2-MR
ssp126,2061,14.079024,NEX,BCC-CSM2-MR
ssp126,2062,14.654659,NEX,BCC-CSM2-MR
ssp126,2063,14.154108,NEX,BCC-CSM2-MR
ssp126,2064,12.333131,NEX,BCC-CSM2-MR
ssp126,2065,14.348134,NEX,BCC-CSM2-MR
ssp126,2066,14.344851,NEX,BCC-CSM2-MR
ssp126,2067,13.313217,NEX,BCC-CSM2-MR
ssp126,2068,13.153556,NEX,BCC-CSM2-MR
ssp126,2069,11.916709,NEX,BCC-CSM2-MR
ssp126,2070,12.237221,NEX,BCC-CSM2-MR
ssp126,2071,13.867688,NEX,BCC-CSM2-MR
ssp126,2072,12.160056,NEX,BCC-CSM2-MR
ssp126,2073,13.299751,NEX,BCC-CSM2-MR
ssp126,2074,14.675581,NEX,BCC-CSM2-MR
ssp126,2075,13.971755,NEX,BCC-CSM2-MR
ssp126,2076,14.366084,NEX,BCC-CSM2-MR
ssp126,2077,13.851968,NEX,BCC-CSM2-MR
ssp126,2078,13.882549,NEX,BCC-CSM2-MR
ssp126,2079,13.443824,NEX,BCC-CSM2-MR
ssp126,2080,12.443765,NEX,BCC-CSM2-MR
ssp126,2081,14.185888,NEX,BCC-CSM2-MR
ssp126,2082,14.091901,NEX,BCC-CSM2-MR
ssp126,2083,13.51726,NEX,BCC-CSM2-MR
ssp126,2084,14.13899,NEX,BCC-CSM2-MR
ssp126,2085,14.335256,NEX,BCC-CSM2-MR
ssp126,2086,13.191712,NEX,BCC-CSM2-MR
ssp126,2087,14.246496,NEX,BCC-CSM2-MR
ssp126,2088,13.889771,NEX,BCC-CSM2-MR
ssp126,2089,14.053627,NEX,BCC-CSM2-MR
ssp126,2090,13.155369,NEX,BCC-CSM2-MR
ssp126,2091,12.666942,NEX,BCC-CSM2-MR
ssp126,2092,13.846048,NEX,BCC-CSM2-MR
ssp126,2093,13.449236,NEX,BCC-CSM2-MR
ssp126,2094,13.918534,NEX,BCC-CSM2-MR
ssp126,2095,12.948517,NEX,BCC-CSM2-MR
ssp126,2096,12.4174,NEX,BCC-CSM2-MR
ssp126,2097,14.064599,NEX,BCC-CSM2-MR
ssp126,2098,14.061919,NEX,BCC-CSM2-MR
ssp126,2099,14.203249,NEX,BCC-CSM2-MR
ssp126,2100,13.918227,NEX,BCC-CSM2-MR
ssp245,2015,14.124099,NEX,BCC-CSM2-MR
ssp245,2016,14.23091,NEX,BCC-CSM2-MR
ssp245,2017,12.981549,NEX,BCC-CSM2-MR
ssp245,2018,13.382594,NEX,BCC-CSM2-MR
ssp245,2019,13.418081,NEX,BCC-CSM2-MR
ssp245,2020,13.300079,NEX,BCC-CSM2-MR
ssp245,2021,13.083276,NEX,BCC-CSM2-MR
ssp245,2022,13.462405,NEX,BCC-CSM2-MR
ssp245,2023,12.37502,NEX,BCC-CSM2-MR
ssp245,2024,12.703945,NEX,BCC-CSM2-MR
ssp245,2025,12.157739,NEX,BCC-CSM2-MR
ssp245,2026,13.425977,NEX,BCC-CSM2-MR
ssp245,2027,11.92486,NEX,BCC-CSM2-MR
ssp245,2028,12.797907,NEX,BCC-CSM2-MR
ssp245,2029,14.2421255,NEX,BCC-CSM2-MR
ssp245,2030,13.445478,NEX,BCC-CSM2-MR
ssp245,2031,13.2828865,NEX,BCC-CSM2-MR
ssp245,2032,13.718552,NEX,BCC-CSM2-MR
ssp245,2033,12.49409,NEX,BCC-CSM2-MR
ssp245,2034,12.675957,NEX,BCC-CSM2-MR
ssp245,2035,13.535126,NEX,BCC-CSM2-MR
ssp245,2036,12.447152,NEX,BCC-CSM2-MR
ssp245,2037,15.009165,NEX,BCC-CSM2-MR
ssp245,2038,14.9691725,NEX,BCC-CSM2-MR
ssp245,2039,14.81646,NEX,BCC-CSM2-MR
ssp245,2040,14.477372,NEX,BCC-CSM2-MR
ssp245,2041,14.489956,NEX,BCC-CSM2-MR
ssp245,2042,14.937286,NEX,BCC-CSM2-MR
ssp245,2043,14.352875,NEX,BCC-CSM2-MR
ssp245,2044,13.9876,NEX,BCC-CSM2-MR
ssp245,2045,13.386988,NEX,BCC-CSM2-MR
ssp245,2046,14.086212,NEX,BCC-CSM2-MR
ssp245,2047,12.877248,NEX,BCC-CSM2-MR
ssp245,2048,13.448292,NEX,BCC-CSM2-MR
ssp245,2049,14.105541,NEX,BCC-CSM2-MR
ssp245,2050,12.708075,NEX,BCC-CSM2-MR
